Values;Mean;Std;Median
X;0.6788986980940961;0.024343534189897622;0.6835637507255763
Y;0.2088065586250242;0.05462311579254917;0.20602738545029015
Z;1.3633997982775012;0.041390887969134565;1.3654427270024199
R00;-0.5461778645596507;0.037305279609442674;-0.5437751903806488
R01;-0.08479092274043863;0.04413172147929584;-0.08083134248365315
R02;-0.8309670182339962;0.025588309161064332;-0.8364897492565191
R10;0.0754283784992626;0.04793824979303033;0.06821417872517899
R11;0.9828056007114762;0.01326374818140926;0.9851976579014027
R12;-0.14932895071096988;0.06025423302680625;-0.14603272355077096
R20;0.8316875923872995;0.02462293587474704;0.8353634362009134
R21;-0.14436770977297403;0.06275411659277932;-0.1371769006384305
R22;-0.5303811591668945;0.04006458441408296;-0.5321630065226253
