Values;Mean;Std;Median
X;0.28239120230929377;0.05901037935780208;0.28541622633891084
Y;-0.002776105536837368;0.05735196050686848;-0.002006493159626882
Z;0.012755097707692085;0.03475091825453444;0.011736323404653248
R00;0.9943536714643504;0.06460576663964457;0.9991670489847215
R01;-0.025938132040907703;0.027789939952115556;-0.025579801554341523
R02;0.006383631643690524;0.07484018140674353;0.004445511931334366
R10;0.027764348509744782;0.02740883875675884;0.026499967213067625
R11;0.9886494908592298;0.06929730423583878;0.9937090547197888
R12;-0.1048698819618623;0.07245876217941015;-0.1070183413986511
R20;-0.004108971348580278;0.07448411794847506;-0.0014350193372321797
R21;0.10508184140188591;0.07268292096983268;0.10757316901174291
R22;0.9887515200260065;0.02192404572697022;0.9932808973598748
