Values;Mean;Std;Median
X;0.2988099453356042;0.021340908435610408;0.2999841697467773
Y;-0.00614809252154865;0.04006795004843978;-0.00603743712218166
Z;-0.014458329356008444;0.010139286096028948;-0.013454117749873262
R00;0.9980446661612029;0.010329566973491433;0.9987816740600879
R01;-0.035911953049404394;0.034935899878963936;-0.03384603184853744
R02;-0.02352300973860644;0.027140872019428264;-0.026515772716786703
R10;0.032821082641732974;0.03044344620521389;0.03142728869768606
R11;0.9930744195244406;0.01385652915560711;0.9946522699419388
R12;-0.097826526624419;0.045134661757137054;-0.09811095759894993
R20;0.02785775524726759;0.0319384248714818;0.029517078664705584
R21;0.096442827426811;0.04242392546313052;0.09714165505740166
R22;0.9935068603097784;0.006855114363773543;0.994482252931076
