Values;Mean;Std;Median
X;-0.2886624450435819;0.03837330876418472;-0.28697996265443526
Y;-0.0009124818859283774;0.03808715328591908;-0.0035357425830731537
Z;0.008961379226528298;0.011447445874907442;0.008181395143677439
R00;0.9976688132850862;0.003440644936394936;0.999029181026838
R01;0.00537104824111396;0.03206365226539057;0.004240785606540903
R02;-0.030378229176470418;0.05162691349528109;-0.031594912011021964
R10;-0.006933817398022788;0.028930387999239932;-0.006861907251029871
R11;0.9945371886790468;0.007524742104816322;0.9963869642691431
R12;-0.08672419735533606;0.04932572361570235;-0.08193844441431372
R20;0.028968898504845356;0.054044969300314306;0.03170075151265487
R21;0.08578492575268132;0.04922579759067691;0.0820265259011683
R22;0.9931757726387124;0.007719858898171981;0.9952991136800704
