Values;Mean;Std;Median
X;-0.5384928907184174;0.09852385201041132;-0.5474599402940977
Y;-0.046462970860934136;0.07482745793810365;-0.04667840564122338
Z;0.26205791814596613;0.05958184796500911;0.2578283034316942
R00;0.7347243476487486;0.06969146572788476;0.7401465051549709
R01;0.06569563209047191;0.07441993546701224;0.06672363520693061
R02;0.6585340864981961;0.10863630436518547;0.6686163683502835
R10;0.022412630455658722;0.06606578928598072;0.02035757885447122
R11;0.9829774022283353;0.09538049309856869;0.9929643225706307
R12;-0.1152537846570919;0.08066931789102144;-0.11436364632962034
R20;-0.6650619909174246;0.09027051731240525;-0.6709340929152896
R21;0.09414408479563253;0.07707552576544163;0.09528914284258543
R22;0.7285957663424281;0.06235580033138422;0.7339367927591842
