Values;Mean;Std;Median
X;-0.26989429184391306;0.11685432926638667;-0.2890749042988155
Y;-0.04178782966051032;0.09342343668818893;-0.03847885457116132
Z;-0.007269904542041403;0.18194312395856385;-0.030385135398861784
R00;0.9907905747762321;0.06278740382532162;0.9988499297801848
R01;0.007282349470868359;0.049168390260655837;0.00675789026794259
R02;-0.03901280257092044;0.10197655062015178;-0.02634730575227896
R10;-0.0030494491812147833;0.038382724602131164;-0.007167890143255732
R11;0.9923322361989879;0.03607145031641874;0.9981546546905111
R12;-0.03735774407586794;0.10534443384325383;-0.04571847179861297
R20;0.03805953370339379;0.10705474329309458;0.026003094838673652
R21;0.03690226376327503;0.10071366931500032;0.04532193249657661
R22;0.9850514896817955;0.07252100558226013;0.9964649999972773
