Values;Mean;Std;Median
X;0.6656326900365397;0.08750706709905196;0.6744406985536072
Y;0.2194912493509012;0.11738944488243389;0.1937054842756714
Z;1.3675787678330569;0.23326226079406495;1.396575594405098
R00;-0.5562835641286846;0.1061522542352034;-0.5697253946812337
R01;-0.07408706452048235;0.1077207094329306;-0.07214639091651298
R02;-0.8097072552700714;0.08100500968509287;-0.8165946110878104
R10;0.07722754895053985;0.11692278574238463;0.055498945878675876
R11;0.9620586317150139;0.15594481254408293;0.9894354160224116
R12;-0.14759496392459717;0.09330112038262876;-0.12965588734899325
R20;0.7977548693226403;0.1524218866515634;0.8175086041205138
R21;-0.13637589981108236;0.12013897853713523;-0.11684957535648709
R22;-0.5339844794092096;0.14894143976221635;-0.555893194618627
